Mud A,Mud B,Mud C,Depth_m
12.281070726669276,12.264107379260558,12.189598860741059,0.0
12.281070726669276,12.264107379260558,12.189598860741059,30.303030303030305
12.281070726669276,12.264107379260558,12.189598860741059,60.60606060606061
12.281070726669276,12.264107379260558,12.189598860741059,90.9090909090909
12.281070726669276,12.264107379260558,12.189598860741059,121.21212121212122
12.281070726669276,12.264107379260558,12.189598860741059,151.51515151515153
12.281070726669276,12.264107379260558,12.189598860741059,181.8181818181818
12.281070726669276,12.264107379260558,12.189598860741059,212.12121212121212
12.281070726669276,12.264107379260558,12.189598860741059,242.42424242424244
12.281070726669276,12.264107379260558,12.189598860741059,272.72727272727275
12.281070726669276,12.264107379260558,12.189598860741059,303.03030303030306
12.281070726669276,12.264107379260558,12.189598860741059,333.33333333333337
12.281070726669276,12.264107379260558,12.189598860741059,363.6363636363636
12.281070726669276,12.264107379260558,12.189598860741059,393.93939393939394
12.281070726669276,12.264107379260558,12.189598860741059,424.24242424242425
12.281070726669276,12.264107379260558,12.189598860741059,454.54545454545456
12.281070726669276,12.264107379260558,12.189598860741059,484.8484848484849
12.281070726669276,12.264107379260558,12.189598860741059,515.1515151515151
12.281070726669276,12.264107379260558,12.189598860741059,545.4545454545455
12.281070726669276,12.264107379260558,12.189598860741059,575.7575757575758
12.281070726669276,12.264107379260558,12.189598860741059,606.0606060606061
12.281070726669276,12.264107379260558,12.189598860741059,636.3636363636364
12.281070726669276,12.264107379260558,12.189598860741059,666.6666666666667
12.281070726669276,12.264107379260558,12.189598860741059,696.969696969697
12.281070726669276,12.264107379260558,12.189598860741059,727.2727272727273
12.281070726669276,12.264107379260558,12.189598860741059,757.5757575757576
12.281070726669276,12.264107379260558,12.189598860741059,787.8787878787879
12.281070726669276,12.264107379260558,12.189598860741059,818.1818181818182
12.281070726669276,12.264107379260558,12.189598860741059,848.4848484848485
12.281070726669276,12.264107379260558,12.189598860741059,878.7878787878789
12.281070726669276,12.264107379260558,12.189598860741059,909.0909090909091
12.281070726669276,12.264107379260558,12.189598860741059,939.3939393939395
12.281070726669276,12.264107379260558,12.189598860741059,969.6969696969697
12.281070726669276,12.264107379260558,12.189598860741059,1000.0
12.281070726669276,12.264107379260558,12.189598860741059,1030.3030303030303
12.281070726669276,12.264107379260558,12.189598860741059,1060.6060606060607
12.281070726669276,12.264107379260558,12.189598860741059,1090.909090909091
12.281070726669276,12.264107379260558,12.189598860741059,1121.2121212121212
12.281070726669276,12.264107379260558,12.189598860741059,1151.5151515151515
12.281070726669276,12.264107379260558,12.189598860741059,1181.818181818182
12.281070726669276,12.264107379260558,12.189598860741059,1212.1212121212122
12.281070726669276,12.264107379260558,12.189598860741059,1242.4242424242425
12.281070726669276,12.264107379260558,12.189598860741059,1272.7272727272727
12.281070726669276,12.264107379260558,12.189598860741059,1303.030303030303
12.281070726669276,12.264107379260558,12.189598860741059,1333.3333333333335
12.281070726669276,12.264107379260558,12.189598860741059,1363.6363636363637
12.281070726669276,12.264107379260558,12.189598860741059,1393.939393939394
12.281070726669276,12.264107379260558,12.189598860741059,1424.2424242424242
12.281070726669276,12.264107379260558,12.189598860741059,1454.5454545454545
12.281070726669276,12.264107379260558,12.189598860741059,1484.848484848485
12.281070726669276,12.264107379260558,12.189598860741059,1515.1515151515152
12.281070726669276,12.264107379260558,12.189598860741059,1545.4545454545455
12.281070726669276,12.264107379260558,12.189598860741059,1575.7575757575758
12.281070726669276,12.264107379260558,12.189598860741059,1606.0606060606062
12.281070726669276,12.264107379260558,12.189598860741059,1636.3636363636365
12.281070726669276,12.264107379260558,12.189598860741059,1666.6666666666667
12.281070726669276,12.264107379260558,12.189598860741059,1696.969696969697
12.281070726669276,12.264107379260558,12.189598860741059,1727.2727272727273
12.281070726669276,12.264107379260558,12.189598860741059,1757.5757575757577
12.281070726669276,12.264107379260558,12.189598860741059,1787.878787878788
12.281070726669276,12.264107379260558,12.189598860741059,1818.1818181818182
12.281070726669276,12.264107379260558,12.189598860741059,1848.4848484848485
12.281070726669276,12.264107379260558,12.189598860741059,1878.787878787879
12.281070726669276,12.264107379260558,12.189598860741059,1909.0909090909092
12.281070726669276,12.264107379260558,12.189598860741059,1939.3939393939395
12.281070726669276,12.264107379260558,12.189598860741059,1969.6969696969697
12.281070726669276,12.264107379260558,12.189598860741059,2000.0
12.281070726669276,12.264107379260558,12.189598860741059,2030.3030303030305
12.281070726669276,12.264107379260558,12.189598860741059,2060.6060606060605
12.281070726669276,12.264107379260558,12.189598860741059,2090.909090909091
12.281070726669276,12.264107379260558,12.189598860741059,2121.2121212121215
12.281070726669276,12.264107379260558,12.189598860741059,2151.5151515151515
12.281070726669276,12.264107379260558,12.189598860741059,2181.818181818182
12.281070726669276,12.264107379260558,12.189598860741059,2212.121212121212
12.281070726669276,12.264107379260558,12.189598860741059,2242.4242424242425
12.281070726669276,12.264107379260558,12.189598860741059,2272.727272727273
12.281070726669276,12.264107379260558,12.189598860741059,2303.030303030303
12.281070726669276,12.264107379260558,12.189598860741059,2333.3333333333335
12.281070726669276,12.264107379260558,12.189598860741059,2363.636363636364
12.281070726669276,12.264107379260558,12.189598860741059,2393.939393939394
12.281070726669276,12.264107379260558,12.189598860741059,2424.2424242424245
12.281070726669276,12.264107379260558,12.189598860741059,2454.5454545454545
12.281070726669276,12.264107379260558,12.189598860741059,2484.848484848485
12.281070726669276,12.264107379260558,12.189598860741059,2515.1515151515155
12.281070726669276,12.264107379260558,12.189598860741059,2545.4545454545455
12.281070726669276,12.264107379260558,12.189598860741059,2575.757575757576
12.281070726669276,12.264107379260558,12.189598860741059,2606.060606060606
12.281070726669276,12.264107379260558,12.189598860741059,2636.3636363636365
12.281070726669276,12.264107379260558,12.189598860741059,2666.666666666667
12.281070726669276,12.264107379260558,12.189598860741059,2696.969696969697
12.281070726669276,12.264107379260558,12.189598860741059,2727.2727272727275
12.281070726669276,12.264107379260558,12.189598860741059,2757.5757575757575
12.281070726669276,12.264107379260558,12.189598860741059,2787.878787878788
12.281070726669276,12.264107379260558,12.189598860741059,2818.1818181818185
12.281070726669276,12.264107379260558,12.189598860741059,2848.4848484848485
12.281070726669276,12.264107379260558,12.189598860741059,2878.787878787879
12.281070726669276,12.264107379260558,12.189598860741059,2909.090909090909
12.281070726669276,12.264107379260558,12.189598860741059,2939.3939393939395
12.281070726669276,12.264107379260558,12.189598860741059,2969.69696969697
12.281070726669276,12.264107379260558,12.189598860741059,3000.0
