Depth,ECD_0.02,ECD_0.025,ECD_0.03,ECD_0.035
1.0,10.984706212552194,11.01376036309128,11.040455219773369,11.065335453545808
26.201680672268907,10.983671199509534,11.012582340470193,11.039145800428255,11.063903569366
51.403361344537814,10.982646379638362,11.011415919429087,11.037849276704149,11.062485786883848
76.60504201680672,10.981631615269096,11.010260943276329,11.03656547443202,11.061081915640981
101.80672268907563,10.980626771061493,11.009117257971472,11.035294222389746,11.059691768401539
127.00840336134453,10.979631713957641,11.007984712071764,11.034035352242636,11.058315161087155
152.21008403361344,10.978646313136062,11.00686315667989,11.032788698485357,11.056951912713433
177.41176470588235,10.977670439966863,11.005752445392934,11.031554098385204,11.05560184532792
202.61344537815125,10.976703967967934,11.004652434252534,11.030331391926687,11.05426478394951
227.81512605042016,10.975746772762161,11.003562981696172,11.029120421757396,11.052940556509235
253.01680672268907,10.974798732035627,11.002483948509596,11.027921033135113,11.05162899379245
278.21848739495795,10.973859725496759,11.00141519778034,11.026733073876146,11.050329929382322
303.4201680672269,10.972929634836433,11.000356594852294,11.025556394304832,11.049043199604613
328.6218487394958,10.972008343688964,10.999308007281325,11.024390847204213,11.047768643473738
353.8235294117647,10.971095737594005,10.998269304791897,11.023236287767807,11.046506102640043
379.0252100840336,10.970191703959303,10.997240359234684,11.022092573552504,11.045255421338272
404.2268907563025,10.969296132024285,10.996221044545134,11.020959564432504,11.044016446337208
429.42857142857144,10.96840891282449,10.99521123670297,11.019837122554302,11.042789026890452
454.6302521008403,10.967529939156778,10.994210813692606,11.018725112292683,11.041573014688296
479.8319327731092,10.96665910554533,10.993219655464445,11.01762340020771,11.040368263810695
505.03361344537814,10.96579630820841,10.99223764389704,11.016531855002661,11.039174630681257
530.2352941176471,10.964941445025847,10.991264662760104,11.015450347482915,11.0379919740223
555.4369747899159,10.964094415507274,10.990300597678333,11.01437875051574,11.036820154810865
580.6386554621848,10.963255120761039,10.98934533609604,11.013316938990979,11.035659036235739
605.8403361344538,10.962423463463814,10.988398767242566,11.012264789782607,11.0345084836554
631.0420168067227,10.96159934783088,10.987460782098447,11.011222181711119,11.033368364556905
656.2436974789916,10.96078267958705,10.986531273362322,11.010188995506756,11.032238548515664
681.4453781512605,10.959973365938234,10.985610135418584,11.009165113773538,11.03111890715611
706.6470588235294,10.959171315543635,10.984697264305714,11.008150420954069,11.03000931411322
731.8487394957983,10.958376438488527,10.983792557685309,11.007144803295114,11.028909644994872
757.0504201680671,10.957588646257644,10.982895914811795,11.006148148813935,11.027819777345016
782.2521008403361,10.956807851709138,10.982007236502778,11.005160347265322,11.026739590607646
807.453781512605,10.956033969049088,10.981126425110041,11.004181290109372,11.025668966091546
832.655462184874,10.955266913806572,10.980253384491169,11.003210870479935,11.024607786935801
857.8571428571429,10.95450660280927,10.979388019981771,11.00224898315375,11.02355593807603
883.0588235294117,10.953752954159574,10.978530238368304,11.00129552452023,11.022513306211355
908.2605042016806,10.953005887211232,10.97767994786148,11.000350392551903,11.021479779772076
933.4621848739496,10.952265322546461,10.976837058070222,10.999413486775463,11.020455248888016
958.6638655462184,10.951531181953566,10.976001479976187,10.998484708243458,11.019439605357556
983.8655462184873,10.950803388405024,10.975173125908823,10.997563959506552,11.018432742617309
1009.0672268907563,10.950081866036022,10.97435190952094,10.996651144586389,11.017434555712443
1034.268907563025,10.949366540123462,10.973537745764823,10.99574616894902,11.016444941267615
1059.4705882352941,10.948657337065391,10.9727305508688,10.994848939478882,11.015463797458535
1084.672268907563,10.947954184360865,10.971930242314349,10.993959364453325,11.014491023984094
1109.8739495798318,10.947257010590238,10.971136738813644,10.993077353517677,11.013526522039104
1135.0756302521008,10.946565745395851,10.970349960287585,10.992202817660809,11.012570194287573
1160.2773109243697,10.94588031946313,10.969569827844278,10.99133566919122,11.011621944836559
1185.4789915966387,10.945200664502062,10.96879626375796,10.99047582171361,11.010681679210554
1210.6806722689075,10.944526713229067,10.968029191448363,10.989623190105938,11.009749304326386
1235.8823529411764,10.943858399349228,10.96726853546048,10.98877769049695,11.00882472846865
1261.0840336134454,10.943195657538901,10.966514221444786,10.98793924024416,11.007907861265638
1286.2857142857142,10.94253842342866,10.965766176137816,10.987107757912296,11.006998613665756
1311.4873949579833,10.941886633586602,10.965024327343174,10.986283163252173,11.006096897914425
1336.689075630252,10.941240225501998,10.964288603912907,10.985465377179986,11.00520262753145
1361.890756302521,10.94059913756925,10.963558935729267,10.98465432175705,11.004315717288844
1387.09243697479,10.939963309072201,10.962835253686837,10.983849920169925,11.003436083189108
1412.2941176470588,10.939332680168736,10.962117489675009,10.983052096710946,11.002563642443937
1437.4957983193276,10.93870719187571,10.961405576560837,10.982260776759146,11.00169831345336
1462.6974789915967,10.93808678605417,10.960699448172203,10.981475886761567,11.000840015785302
1487.8991596638655,10.937471405394868,10.959999039281342,10.980697354214938,10.999988670155542
1513.1008403361343,10.936860993404075,10.959304285588686,10.979925107647706,10.999144198408079
1538.3025210084033,10.936255494389659,10.958615123707022,10.97915907660245,10.998306523495886
1563.5042016806722,10.935654853447462,10.957931491145985,10.978399191618623,10.997475569462043
1588.7058823529412,10.935059016447914,10.957253326296833,10.97764538421564,10.996651261421245
1613.90756302521,10.934467930022947,10.956580568417534,10.976897586876298,10.995833525541673
1639.1092436974789,10.93388154155314,10.955913157618147,10.97615573303053,10.995022289027222
1664.310924369748,10.93329979915512,10.955251034846485,10.975419757039463,10.994217480100074
1689.5126050420167,10.932722651669222,10.95459414187406,10.974689594179797,10.993419027983615
1714.7142857142858,10.932150048647369,10.953942421282296,10.973965180628488,10.992626862885682
1739.9159663865546,10.931581940341209,10.953295816449026,10.973246453447725,10.99184091598214
1765.1176470588234,10.93101827769047,10.95265427153523,10.9725333505702,10.991061119400767
1790.3193277310925,10.930459012311536,10.952017731472042,10.971825810784665,10.99028740620547
1815.5210084033613,10.929904096486249,10.951386141948003,10.971123773721757,10.989519710380778
1840.7226890756301,10.929353483150933,10.950759449396568,10.970427179840113,10.988757966816655
1865.9243697478992,10.928807125885616,10.950137600983833,10.969735970412732,10.988002111293598
1891.126050420168,10.928264978903464,10.949520544596519,10.969050087513613,10.987252080468018
1916.3277310924368,10.927726997040418,10.948908228830165,10.968369474004644,10.986507811857894
1941.5294117647059,10.92719313574502,10.948300602977563,10.96769407352273,10.985769243828717
1966.7310924369747,10.926663351068447,10.947697617017402,10.967023830467177,10.985036315579679
1991.9327731092437,10.926137599654718,10.947099221603128,10.966358689987317,10.984308967130142
2017.1344537815125,10.925615838731092,10.94650536805202,10.965698597970347,10.983587139306348
2042.3361344537814,10.925098026098654,10.945916008334455,10.965043501029427,10.982870773728397
2067.53781512605,10.92458412012306,10.945331095063406,10.964393346491969,10.98215981279744
2092.7394957983192,10.924074079725473,10.944750581484099,10.963748082388175,10.981454199683146
2117.9411764705883,10.923567864373664,10.944174421463892,10.96310765743976,10.98075387831138
2143.142857142857,10.923065434073266,10.943602569482328,10.962472021048915,10.980058793352113
2168.344537815126,10.922566749359206,10.943034980621379,10.961841123287451,10.979368890207573
2193.546218487395,10.922071771287294,10.942471610555863,10.961214914886153,10.978684115000586
2218.7478991596636,10.92158046142596,10.941912415544053,10.960593347224334,10.978004414563168
2243.9495798319326,10.92109278184814,10.941357352418436,10.95997637231958,10.977329736425297
2269.1512605042017,10.920608695123331,10.94080637857667,10.959363942817681,10.976660028803908
2294.3529411764707,10.920128164309771,10.940259451972684,10.95875601198274,10.97599524059208
2319.5546218487393,10.919651152946768,10.93971653110795,10.95815253368748,10.975335321348437
2344.7563025210084,10.919177625047176,10.939177575022914,10.95755346240372,10.974680221286723
2369.9579831932774,10.918707545090003,10.938642543288582,10.95695875319301,10.974029891265573
2395.159663865546,10.918240878013144,10.938111395998261,10.956368361697464,10.973384282778484
2420.361344537815,10.917777589206267,10.937584093759446,10.955782244130733,10.97274334794394
2445.563025210084,10.917317644503806,10.937060597685855,10.955200357269156,10.972107039495741
2470.7647058823527,10.916861010178094,10.93654086938961,10.954622658443068,10.9714753107735
2495.9663865546217,10.916407652932609,10.93602487097355,10.954049105528256,10.970848115713288
2521.168067226891,10.915957539895354,10.935512565023696,10.953479656937585,10.97022540883849
2546.3697478991594,10.915510638612343,10.935003914601836,10.952914271612752,10.969607145250782
2571.5714285714284,10.915066917041209,10.934498883238254,10.952352909016206,10.968993280621296
2596.7731092436975,10.914626343544926,10.933997434924581,10.951795529123201,10.968383771181928
2621.9747899159665,10.914188886885642,10.933499534106774,10.951242092413995,10.967778573716814
2647.176470588235,10.913754516218619,10.933005145678223,10.950692559866184,10.967177645553932
2672.378151260504,10.91332320108628,10.932514234972977,10.950146892947172,10.96658094455689
2697.5798319327732,10.912894911412367,10.932026767759087,10.94960505360678,10.96598842911682
2722.781512605042,10.912469617496196,10.931542710232069,10.949067004269969,10.965400058144443
2747.983193277311,10.91204729000701,10.931062029008489,10.948532707829711,10.964815791062252
2773.18487394958,10.911627899978436,10.930584691119636,10.948002127639967,10.964235587796852
2798.3865546218485,10.911211418803042,10.93011066400534,10.9474752275088,10.963659408771415
2823.5882352941176,10.910797818226978,10.929639915507869,10.946951971691602,10.96308721489828
2848.7899159663866,10.91038707034472,10.929172413865938,10.946432324884437,10.962518967571674
2873.991596638655,10.9099791475939,10.928708127708841,10.945916252217504,10.96195462866056
2899.1932773109243,10.909574022750222,10.928247026050654,10.945403719248707,10.96139416050161
2924.3949579831933,10.909171668922479,10.927789078284562,10.944894691957348,10.960837525892302
2949.596638655462,10.908772059547639,10.927334254177271,10.944389136737907,10.960284688084126
2974.798319327731,10.908375168386023,10.926882523863526,10.943887020393955,10.95973561077592
3000.0,10.907980969516574,10.926433857840706,10.943388310132148,10.95919025810731
